Date;Value
2021/02/10;3135.20875
2021/02/11;3142.17132
2021/02/12;3157.03538
2021/02/15;3167.20119
2021/02/16;3171.63695
2021/02/17;3183.91674
2021/02/18;3154.86475
2021/02/19;3145.14295
2021/02/22;3117.72057
2021/02/23;3113.22229
2021/02/24;3128.30755
2021/02/25;3067.80204
2021/02/26;3040.62959
2021/03/01;3124.17687
2021/03/02;3106.68576
2021/03/03;3086.63662
2021/03/04;3053.5412
2021/03/05;3106.05494
2021/03/08;3106.49886
2021/03/09;3139.21584
2021/03/10;3153.01446
2021/03/11;3174.48535
2021/03/12;3180.13308
2021/03/15;3196.62591
2021/03/16;3207.91962
2021/03/17;3205.66424
2021/03/18;3181.18889
2021/03/19;3175.14885
2021/03/22;3180.84517
